,rank,trend,title,artist,editor,last_week_rank,week_in,best_rank,certification,certification_date
0,1,Neutral,JEFE,NINHO,REC. 118 / MAL LUNE MUSIC,0,0,1,Or,09/12/2021
1,2,Down,CIVILISATION,ORELSAN,3EME BUREAU,1,2,1,Double Platine,09/12/2021
2,3,Down,30,ADELE,COLUMBIA,2,2,2,Platine,09/12/2021
3,4,Neutral,NONANTE-CINQ,ANGÈLE,ROMANCE MUSIQUE / ANGELE VL RECORDS,0,0,4,,
4,5,Down,=,ED SHEERAN,WEA / EAST WEST UK,4,5,1,Or,18/11/2021
5,6,Up,MESDAMES,GRAND CORPS MALADE,CAROLINE FRANCE / ANOUCHE PRODUCTIONS,10,63,1,Triple Platine,27/05/2021
6,7,Up,CHASSEUR D'ETOILES,SOPRANO,REC118 / REC. 118,8,12,1,Platine,25/11/2021
7,8,Up,SOUS UN SOLEIL ÉNORME,BERNARD LAVILLIERS,ROMANCE MUSIQUE,9,3,3,,
8,9,Down,COUNTRY ROCK,EDDY MITCHELL,POLYDOR,6,2,3,,
9,10,Down,VOYAGE,ABBA,POLYDOR / UNIVERSAL MUSIC,7,4,1,Or,18/11/2021
10,11,Down,LE CLASSICO ORGANISÉ,LE CLASSICO ORGANISÉ,BELIEVE / RIEN SANS RIEN,5,4,2,Or,25/11/2021
11,12,Down,RÉELLE VIE 3.0,MAES,CAPITOL MUSIC FRANCE / MILLENIUM,3,1,3,,
12,13,Down,MUSIC OF THE SPHERES,COLDPLAY,WEA / PARLOPHONE,12,7,1,Or,09/12/2021
13,14,Neutral,ES,IMEN ES,ISLAND DEF JAM / BENDO / FULGU PROD,0,0,14,Platine,11/02/2021
14,15,Up,CŒUR,CLARA LUCIANI,ROMANCE MUSIQUE,20,24,1,Platine,28/10/2021
15,16,Neutral,TROBADOR TOUR,FRANCIS CABREL,COLUMBIA,0,0,16,,
16,17,Down,AIMÉE,JULIEN DORÉ,COLUMBIA,14,64,1,Double Platine,25/02/2021
17,18,Neutral,VERSUS,VITAA & SLIMANE,CAPITOL MUSIC FRANCE / CAPITOL,18,119,1,Diamant,03/07/2020
18,19,Neutral,BRÛLER LE FEU,JULIETTE ARMANET,ROMANCE MUSIQUE,19,2,10,,
19,20,Up,N'ATTENDONS PAS,VIANNEY,BELIEVE / TOT OU TARD,22,56,1,Triple Platine,02/12/2021
20,21,Down,FLEUR FROIDE - SECOND ÉTAT : LA CRISTALLISATION,TAYC,PLAY TWO,11,2,4,,
21,22,Up,L'AVENIR,FLORENT PAGNY,CAPITOL MUSIC FRANCE / CAPITOL,26,10,1,Or,18/11/2021
22,23,Down,AKIMBO,ZIAK,CAPITOL MUSIC FRANCE / MILLENIUM,13,3,1,,
23,24,Down,LE MONDE EST MÉCHANT,NISKA,CAPITOL MUSIC FRANCE / MILLENIUM,15,4,3,Or,09/12/2021
24,25,Down,THE HIGHLIGHTS,THE WEEKND,ISLAND DEF JAM / UNIVERSAL MUSIC,21,42,4,Platine,26/08/2021
25,26,Down,ENNA,PLK,PANENKA MUSIC,17,65,2,Double Platine,23/09/2021
26,27,Down,THE BRIDGE,STING,POLYDOR / A & M,23,2,14,,
27,28,Up,LE FLÉAU,MAÎTRE GIMS,PLAY TWO,81,51,3,Double Platine,18/11/2021
28,29,Up,MERCURY - ACT 1,IMAGINE DRAGONS,POLYDOR / INTERSCOPE RECORDS,30,12,4,,
29,30,Down,FRANCE,PASCAL OBISPO,KURONEKO MEDIA / ATLETICO,29,5,2,,
